Q. No,Type,Question Text,Image Path
1,MCQ,"Q.1 
 “Going by the _________ that many hands make light work, the school _______ involved 
 all the students in the task.” 
The words that best fill the blanks in the above sentence are (A) principle, principal 
(B) principal, principle (C) principle, principle 
(D) principal, principal",static/questions\q001_MCQ_p1.png
2,MCQ,"Q.2 
 “Her _______ should not be confused with miserliness; she is ever willing to assist those in 
 need.” 
The word that best fills the blank in the above sentence is (A) cleanliness 
(B) punctuality 
(C) frugality 
(D) greatness",static/questions\q002_MCQ_p1.png
3,MCQ,"Q.3 
 Seven machines take 7 minutes to make 7 identical toys. At the same rate, how many 
minutes would it take for 100 machines to make 100 toys? (A) 1 
(B) 7 
(C) 100 
(D) 700",static/questions\q003_MCQ_p1.png
4,MCQ,"Q.4 
 A rectangle becomes a square when its length and breadth are reduced by 10 m and 5 m, 
respectively. During this process, the rectangle loses 650 m2 of area. What is the area of the 
original rectangle in square meters? (A) 1125 
(B) 2250 
(C) 2924 
(D) 4500",static/questions\q004_MCQ_p1.png
5,MCQ,"Q.5 
 A number consists of two digits. The sum of the digits is 9. If 45 is subtracted from the 
number, its digits are interchanged. What is the number? (A) 63 
(B) 72 
(C) 81 
(D) 90 Q. 6 – Q. 10 carry two marks each. 
Q.6 
 For integers 𝑎, 𝑎? and 𝑎?, what would be the minimum and maximum values respectively of 
𝑎 + 𝑎? + 𝑎? if log |𝑎| + log |𝑎?| + log |𝑎?| = 0? (A) -3 and 3 
(B) -1 and 1 
(C) -1 and 3 
(D) 1 and 3 ",static/questions\q005_MCQ_p1.png
7,MCQ,"Q.7 
 Given that 𝑎 and 𝑎? are integers and 𝑎 + 𝑎2 𝑎?3 is odd, which one of the following 
statements is correct? (A) 𝑎 and 𝑎? are both odd 
(B) 𝑎 and 𝑎? are both even (C) 𝑎 is even and 𝑎? is odd 
(D) 𝑎 is odd and 𝑎? is even",static/questions\q007_MCQ_p2.png
8,MCQ,"Q.8 
 From the time the front of a train enters a platform, it takes 25 seconds for the back of the 
train to leave the platform, while travelling at a constant speed of 54 km/h. At the same 
speed, it takes 14 seconds to pass a man running at 9 km/h in the same direction as the 
train. What is the length of the train and that of the platform in meters, respectively? (A) 210 and 140 
(B) 162.5 and 187.5 (C) 245 and 130 
(D) 175 and 200",static/questions\q008_MCQ_p2.png
9,MCQ,"Q.9 
 Which of the following functions describe the graph shown in the below figure?   (A) 𝑥? = ||𝑥| + 1| − 2 
(B) 𝑥? = ||𝑥| − 1| − 1 (C) 𝑥? = ||𝑥| + 1| − 1 
(D) 𝑥? = ||𝑥 − 1| − 1|",static/questions\q009_MCQ_p2.png
10,MCQ,"Q.10  Consider the following three statements: (i) 
Some roses are red. (ii) 
All red flowers fade quickly. (iii) 
Some roses fade quickly. Which of the following statements can be logically inferred from the above statements? (A) If (i) is true and (ii) is false, then (iii) is false. 
(B) If (i) is true and (ii) is false, then (iii) is true. 
(C) If (i) and (ii) are true, then (iii) is true.  
(D) If (i) and (ii) are false, then (iii) is false.   END OF THE QUESTION PAPER  <image: DeviceRGB, width: 401, height: 390, bpc: 8>",static/questions\q010_MCQ_p2.png
1,MCQ,"Q.1 
 Four red balls, four green balls and four blue balls are put in a box. Three balls are pulled out 
of the box at random one after another without replacement. The probability that all the three 
balls are red is (A) 1/72  
(B) 1/55 
(C)  1/36 
(D)  1/27  Q.2 The rank of the matrix 
   
    

 
 1
3
7 1
1
1 1
1
4 is  (A) 1 
(B) 2 
(C) 3   
(D)  4 ",static/questions\q001_MCQ_p3.png
3,MCQ,"Q.3 
 According to the Mean Value Theorem, for a continuous function
( )
f x in the interval [ , ],
a b there exists a value  in this interval such that 
( ) b a f x dx  (A) 
( )(
)
f
b a

 
(B) ( )(
)
f b
 a (C) ( )(
f a b )

 
(D) 0 ",static/questions\q003_MCQ_p3.png
4,MCQ,"Q.4 
F ( )
F z  is a function of the complex variable z
x
iy


 given by  𝐹(𝑥?) = 𝑖 𝑥? + 𝑘 𝑅𝑑?(𝑥?) + 𝑖 𝐼𝑚(𝑥?).  For what value of k  will 
( )
F z satisfy the Cauchy-Riemann equations? (A) 0 
(B) 1 
(C)  1
  
(D)  y ",static/questions\q004_MCQ_p3.png
5,MCQ,"Q.5 
 A bar of uniform cross section and weighing 100 N is held horizontally using two massless 
and inextensible strings S1 and S2 as shown in the figure.  The tensions in the strings are (A) 
1T  = 100 N and 
2T  = 0 N 
(B) 
1T  = 0 N   and 
2T  = 100 N (C) 
1T  = 75 N   and 
2T  = 25 N 
(D) 
1T  = 25 N and 
2T  = 75 N <image: DeviceGray, width: 351, height: 169, bpc: 8>",static/questions\q005_MCQ_p3.png
6,MCQ,"Q.6 
 If 
1
  and 
3
 are the algebraically largest and smallest principal stresses respectively, the value of the maximum shear stress is (A) 1+ 3 2
 
(B) 1− 3 2
 
(C)  √ 1+ 3 2
 
(D)  √ 1− 3 2 ",static/questions\q006_MCQ_p4.png
7,MCQ,"Q.7 
 The equation of motion for a spring-mass system excited by a harmonic force is cos(
),
M x
Kx
F
t

 <image: Indexed(1,DeviceRGB), width: 2, height: 2, bpc: 1>   where M is the mass, K  is the spring stiffness, F is the force amplitude and  is the angular 
frequency of excitation. Resonance occurs when  is equal to (A) 
M
K  
(B) 1 2 MK

 
(C)  2
MK

 
(D)  
K
M ",static/questions\q007_MCQ_p4.png
8,MCQ,"Q.8 
 For an Oldham coupling used between two shafts, which among the following statements 
are correct? I. 
Torsional load is transferred along shaft axis. II. 
A velocity ratio of 1:2 between shafts is obtained without using gears. III. 
Bending load is transferred transverse to shaft axis. IV. 
Rotation is transferred along shaft axis.  (A) I and III 
(B) I and IV 
(C)  II and III 
(D)  II and IV ",static/questions\q008_MCQ_p4.png
9,MCQ,"Q.9 
 For a two-dimensional incompressible flow field given by 

yj
Axi
u
ˆ
ˆ 

, where
A0
, which one of the following statements is FALSE? (A) It satisfies continuity equation. 
(B) It is unidirectional when 
x0
and
y
. (C) Its streamlines are given by 
x y
. (D) It is irrotational. ",static/questions\q009_MCQ_p4.png
10,MCQ,"Q.10  Which one of the following statements is correct for a superheated vapour? (A) Its pressure is less than the saturation pressure at a given temperature. 
(B) Its temperature is less than the saturation temperature at a given pressure. 
(C) Its volume is less than the volume of the saturated vapour at a given temperature. 
(D) Its enthalpy is less than the enthalpy of the saturated vapour at a given pressure. ",static/questions\q010_MCQ_p4.png
11,MCQ,"Q.11  In a linearly hardening plastic material, the true stress beyond initial yielding (A) increases linearly with the true strain 
(B) decreases linearly with the true strain 
(C) first increases linearly and then decreases linearly with the true strain 
(D) remains constant ",static/questions\q011_MCQ_p5.png
12,MCQ,"Q.12  The type of weld represented by the shaded region in the figure is   (A) groove  
(B) spot  
(C)  fillet  
(D)  plug ",static/questions\q012_MCQ_p5.png
13,MCQ,"Q.13  Using the Taylor’s tool life equation with exponent 
n 0.5,
 if the cutting speed is reduced by 50%, the ratio of new tool life to original tool life is (A)  4 
(B)  2 
(C)  1 
(D)  0.5 ",static/questions\q013_MCQ_p5.png
14,MCQ,Q.14  A grinding ratio of 200 implies that the (A) grinding wheel wears 200 times the volume of the material removed (B) grinding wheel wears 0.005 times the volume of the material removed (C) aspect ratio of abrasive particles used in the grinding wheel is 200 (D) ratio of volume of abrasive particle to that of grinding wheel is 200 ,static/questions\q014_MCQ_p5.png
15,MCQ,"Q.15  Interpolator in a CNC machine (A) controls spindle speed 
(B) coordinates axes movements 
(C) operates  tool changer 
(D) commands canned cycle ",static/questions\q015_MCQ_p5.png
16,MCQ,"Q.16  The time series forecasting method that gives equal weightage to each of the m most recent observations is (A) Moving average method 
(B) Exponential smoothing with linear trend (C) Triple Exponential smoothing  
(D) Kalman Filter  <image: DeviceRGB, width: 145, height: 169, bpc: 8>",static/questions\q016_MCQ_p5.png
17,MCQ,"Q.17  The number of atoms per unit cell and the number of slip systems, respectively, for a face- centered cubic (FCC) crystal are (A) 3, 3  
(B) 3, 12 
(C)  4, 12 
(D)  4, 48 ",static/questions\q017_MCQ_p6.png
18,MCQ,"Q.18  A six-faced fair dice is rolled five times. The probability (in %) of obtaining “ONE” at least four times is (A) 33.3 
(B) 3.33 
(C)  0.33 
(D)  0.0033 ",static/questions\q018_MCQ_p6.png
19,NAT,"Q.19  A steel column of rectangular section (15 mm × 10 mm) and length 1.5 m is simply supported at both ends. Assuming modulus of elasticity, E = 200 GPa for steel, the critical axial load 
(in kN) is ____ (correct to two decimal places).  ",static/questions\q019_NAT_p6.png
21,NAT,"Q.21  If the wire diameter of a compressive helical spring is increased by 2%, the change in spring stiffness (in %) is _____ (correct to two decimal places). ",static/questions\q021_NAT_p6.png
22,NAT,"Q.22  A flat plate of width L = 1 m is pushed down with a velocity U = 0.01 m/s towards a wall resulting in the drainage of the fluid between the plate and the wall as shown in the figure. 
Assume two-dimensional incompressible flow and that the plate remains parallel to the wall. The average velocity, uavg of the fluid (in m/s) draining out at the instant shown in the figure 
is _____________(correct to three decimal places).   ",static/questions\q022_NAT_p6.png
23,NAT,"Q.23  An ideal gas undergoes a process from state 1 (
1T = 300 K, 
1p  = 100 kPa) to state 2 (
2T  = 600 K, 
2p  = 500 kPa).  The specific heats of the ideal gas are : cp = 1 kJ/kg-K and cv = 0.7 kJ/kg-K. The change in specific entropy of the ideal gas from state 1 to state 2 (in 
kJ/kg-K) is ___________(correct to two decimal places). ",static/questions\q023_NAT_p7.png
24,NAT,"Q.24  For a Pelton wheel with a given water jet velocity, the maximum output power from the Pelton wheel is obtained when the ratio of the bucket speed to the water jet speed  
is _______ (correct to two decimal places). ",static/questions\q024_NAT_p7.png
25,NAT,Q.25  The height (in mm) for a 125 mm sine bar to measure a taper of 27 ̊ 32 on a flat work piece is _______ (correct to three decimal places). ,static/questions\q025_NAT_p7.png
26,MCQ,"Q.26  Let X1, X2 be two independent normal random variables with means µ1, µ2 and standard deviations 1, 2, respectively. Consider Y = X1 – X2; µ1 = µ2 =1, 1 = 1, 2 = 2. Then, (A) Y is normally distributed with mean 0 and variance 1 
(B) Y is normally distributed with mean 0 and variance 5 
(C) Y has mean 0 and variance 5, but is NOT normally distributed 
(D) Y has mean 0 and variance 1, but is NOT normally distributed ",static/questions\q026_MCQ_p8.png
